Kanal-ID,Kanalnettadresse,Kanaltittel
UCJI_8Plmmtk7GMQPEy_b7rg,http://www.youtube.com/channel/UCJI_8Plmmtk7GMQPEy_b7rg,Badministrator
UCKUlmBVIpWZVXtw3jPuFIOQ,http://www.youtube.com/channel/UCKUlmBVIpWZVXtw3jPuFIOQ,Michael Chappell
UCKweIbbv5qrTMo0uXnGdiQQ,http://www.youtube.com/channel/UCKweIbbv5qrTMo0uXnGdiQQ,TheQamiQaze
UCL9oIFoVMW0h5hE_dSQ7pJA,http://www.youtube.com/channel/UCL9oIFoVMW0h5hE_dSQ7pJA,Dane Jackson
UCLB7AzTwc6VFZrBsO2ucBMg,http://www.youtube.com/channel/UCLB7AzTwc6VFZrBsO2ucBMg,Robert Miles AI Safety 
UCLT5liaU_UYbjTT9M11e-tg,http://www.youtube.com/channel/UCLT5liaU_UYbjTT9M11e-tg,Tesla US
UCL_f53ZEJxp8TtlOkHwMV9Q,http://www.youtube.com/channel/UCL_f53ZEJxp8TtlOkHwMV9Q,Jordan B Peterson
UCMQkYC9HUcPTertReHILVOA,http://www.youtube.com/channel/UCMQkYC9HUcPTertReHILVOA,Brodual
UCMQzIsi7kwz1_xZjqNhz9kw,http://www.youtube.com/channel/UCMQzIsi7kwz1_xZjqNhz9kw,Lattice Training
UCN6yUSXtHitdzmKpuSjgdWw,http://www.youtube.com/channel/UCN6yUSXtHitdzmKpuSjgdWw,SquashSkills
UCNJP0oF6k62xA_qhCLfwI-Q,http://www.youtube.com/channel/UCNJP0oF6k62xA_qhCLfwI-Q,Tech of Tomorrow
UCNKcMBYP_-18FLgk4BYGtfw,http://www.youtube.com/channel/UCNKcMBYP_-18FLgk4BYGtfw,AWE me
UCO1cgjhGzsSYb1rsB4bFe4Q,http://www.youtube.com/channel/UCO1cgjhGzsSYb1rsB4bFe4Q,Fun Fun Function
UCOGeU-1Fig3rrDjhm9Zs_wg,http://www.youtube.com/channel/UCOGeU-1Fig3rrDjhm9Zs_wg,Vihart
UCOKHwx1VCdgnxwbjyb9Iu1g,http://www.youtube.com/channel/UCOKHwx1VCdgnxwbjyb9Iu1g,Blender Guru
UCPSWmxY4KWMMUbaAR0A4f8Q,http://www.youtube.com/channel/UCPSWmxY4KWMMUbaAR0A4f8Q,The Outside People
UCPl1k_8XyD8CA5Q-AZNTi6g,http://www.youtube.com/channel/UCPl1k_8XyD8CA5Q-AZNTi6g,06marval
UCQ-W1KE9EYfdxhL6S4twUNw,http://www.youtube.com/channel/UCQ-W1KE9EYfdxhL6S4twUNw,The Cherno
UCQHX6ViZmPsWiYSFAyS0a3Q,http://www.youtube.com/channel/UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess
UCQgFyjO_YSSyoMsx6_HblPA,http://www.youtube.com/channel/UCQgFyjO_YSSyoMsx6_HblPA,Kongsberg Gruppen
UCS0N5baNlQWJCUrhCEo8WlA,http://www.youtube.com/channel/UCS0N5baNlQWJCUrhCEo8WlA,Ben Eater
UCS3f3jpSWZMi2xzZWkwdA3g,http://www.youtube.com/channel/UCS3f3jpSWZMi2xzZWkwdA3g,HeadacheRecords
UCSAUGyc_xA8uYzaIVG6MESQ,http://www.youtube.com/channel/UCSAUGyc_xA8uYzaIVG6MESQ,nigahiga
UCSNsJvvc3LarXVkJ2H6e2zQ,http://www.youtube.com/channel/UCSNsJvvc3LarXVkJ2H6e2zQ,Michael Hendriks
